ProductID;AvailableQuantity;NetPrice;EuropeanArticleNumber;NetRetailPrice;Description;GrossMass;ManufacturerPartNumber;CategoryText1;ManufacturerName
"47774145";0;32.56;;;"TSUNAMI WARRANTY EXTENSION FORTUNE WORKSTATION +1Y";0.001;"WAREXWFT1Y";"Garantias e Serviços";"JP SA COUTO"
"47774146";0;55.82;;;"TSUNAMI WARRANTY EXTENSION FORTUNE WORKSTATION +2Y";0.001;"WAREXWFT2Y";"Garantias e Serviços";"JP SA COUTO"
"47774147";0;173.59;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 10TB - mês";0.001;"WARM10TB";"Software e Cloud";"VAWLT"
"47774148";0;1717.84;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 10TB - anual";0.001;"WARM10TBA";"Software e Cloud";"VAWLT"
"47774149";0;259.52;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 15TB - mês";0.001;"WARM15TB";"Software e Cloud";"VAWLT"
"47774150";0;2409.85;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 15TB - anual";0.001;"WARM15TBA";"Software e Cloud";"VAWLT"
"47774151";0;15.45;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 1TB - mês";0.001;"WARM1TB";"Software e Cloud";"VAWLT"
"47774152";0;168.16;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 1TB - anual";0.001;"WARM1TBA";"Software e Cloud";"VAWLT"
"47774157";0;52.93;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 3TB - mês";0.001;"WARM3TB";"Software e Cloud";"VAWLT"
"47774158";0;475.44;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 3TB - anual";0.001;"WARM3TBA";"Software e Cloud";"VAWLT"
"47774160";0;87.44;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 5TB - mês";0.001;"WARM5TB";"Software e Cloud";"VAWLT"
"47774161";0;863;;;"VAWLT Multicloud Storage - Armazenamento de dados - volume WARM 5TB - anual";0.001;"WARM5TBA";"Software e Cloud";"VAWLT"
"47774219";3;19.78;"5603209001769";;"NAPOFIX VERTICAL FIXED WALL MOUNT FOR DIGITAL SIGNAGE 37-90 Inch - WM4060F";1.860;"WM4060F";"Audio, Video, Monitores e TV";"NAPOFIX"
"47774221";0;28;"8032958188501";;"WP RACK 19  Patch Panel Cat.6 UTP 24 RJ45 ports 1U with cable management, Black";0.700;"WPC-PAN-6U-24";"Servidor, Armazenamento e UPS";"WP RACK"
"47774222";2;12.26;"8056045871381";;"WP RACK Screw Less Blank Panel 3U, Black RAL 9005";0.556;"WPN-ABP-3SL-B";"Servidor, Armazenamento e UPS";"WP RACK"
"47774223";0;20.87;"8032958189720";;"WP RACK Fixed Shelf 2U 350 mm, Black RAL 9005";3.333;"WPN-AFS-22035-B";"Servidor, Armazenamento e UPS";"WP RACK"
"47774242";0;1400;"5600373302364";;"ZONERICH KIOSK ZQ-DK2100 J1900 4GB 64GB SSD + PRINTER 80MM SEIKO + NFC + 2D QR CODE SCANNER";15.200;"ZQ-DK2100";"Portáteis, PC e Tablet";"ZONERICH"
"47774243";0;347.2;"5600373305525";;"ZONERICH DIGITAL SIGNAGE DISPLAY ANDROID 43Inch DIGITAL CONTENT MANAGEMENT SOFTWARE + VESA MOUNT";17.000;"ZQ-SK50";"Portáteis, PC e Tablet";"ZONERICH"
"47774244";0;4424;;;"ZONERICH DUAL KIOSK ZQ-ST320DS 32Inch J1900 4GB 64GB SSD + PRINTER 80MM SEIKO + NFC + 2D SCANNER";15.000;"ZQST320DS";"Portáteis, PC e Tablet";"ZONERICH"
"47774245";0;84;;;"ZONERICH TPA STAND - KIOSK ZQ-ST/ZQ-DK";0.001;"ZQTPASTAND";"Portáteis, PC e Tablet";"ZONERICH"
"47774247";3;10.01;"4047443508782";;"HAMA SMART WLAN SOCKET MATTER VOICE AND APP-CONTROLLED";0.171;"00176638";"Periféricos e Acessórios";"HAMA"
